epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,6888.48,0.86288,0.56174,1.03268,0.88791,0.90414,0.92927,0.71137,0.79852,0.47544,1.05028,0.003862,0.003862,0.003862
95,6960.54,0.8606,0.55114,1.03051,0.89108,0.89409,0.92998,0.71428,0.79602,0.47277,1.05128,0.003796,0.003796,0.003796
96,7033.37,0.87017,0.56043,1.03272,0.89775,0.89908,0.9324,0.71525,0.79261,0.47252,1.04553,0.00373,0.00373,0.00373
97,7105.77,0.86993,0.55294,1.03153,0.88635,0.90386,0.93362,0.71437,0.79955,0.47185,1.04886,0.003664,0.003664,0.003664
98,7179.19,0.85377,0.55112,1.03105,0.89767,0.89845,0.93354,0.71688,0.79441,0.47239,1.04669,0.003598,0.003598,0.003598
99,7252.13,0.86853,0.55447,1.02753,0.89372,0.90055,0.9344,0.71438,0.79753,0.47113,1.04956,0.003532,0.003532,0.003532
100,7324.76,0.85635,0.55247,1.02995,0.89281,0.90301,0.93612,0.71477,0.79756,0.46908,1.05044,0.003466,0.003466,0.003466
101,7396.73,0.86135,0.54418,1.03117,0.89431,0.90575,0.93451,0.71739,0.79241,0.46529,1.0467,0.0034,0.0034,0.0034
102,7470.33,0.85621,0.5438,1.03144,0.88677,0.90649,0.93866,0.71956,0.79051,0.46492,1.04722,0.003334,0.003334,0.003334
103,7543.48,0.85041,0.54453,1.03169,0.89041,0.90227,0.93714,0.72048,0.78968,0.46087,1.04684,0.003268,0.003268,0.003268
104,7616.9,0.85855,0.54379,1.03274,0.89684,0.90085,0.93627,0.72062,0.78908,0.46355,1.04675,0.003202,0.003202,0.003202
105,7688.83,0.84813,0.53921,1.03139,0.88685,0.90122,0.93388,0.71954,0.78866,0.46527,1.04641,0.003136,0.003136,0.003136
106,7760.66,0.84831,0.53853,1.0235,0.89278,0.8994,0.93607,0.71987,0.78776,0.46373,1.04622,0.00307,0.00307,0.00307
107,7832.78,0.84634,0.53431,1.02985,0.88598,0.90786,0.93754,0.71926,0.78393,0.45905,1.04607,0.003004,0.003004,0.003004
108,7905.9,0.85205,0.53065,1.02602,0.89155,0.90682,0.93913,0.72136,0.79184,0.45849,1.0484,0.002938,0.002938,0.002938
109,7978.29,0.83894,0.5296,1.02296,0.89836,0.90066,0.93917,0.72123,0.79288,0.4583,1.04794,0.002872,0.002872,0.002872
110,8051.39,0.85336,0.53694,1.02868,0.89812,0.9015,0.94069,0.72466,0.78561,0.455,1.0439,0.002806,0.002806,0.002806
111,8124.35,0.85699,0.54201,1.0351,0.89186,0.90331,0.93788,0.72229,0.78852,0.45642,1.04654,0.00274,0.00274,0.00274
112,8197.46,0.84096,0.52585,1.02348,0.89637,0.90481,0.94055,0.72301,0.78926,0.45186,1.04591,0.002674,0.002674,0.002674
113,8273.34,0.83642,0.52379,1.02438,0.90755,0.90748,0.94412,0.72593,0.78518,0.45061,1.0442,0.002608,0.002608,0.002608
114,8347.79,0.84486,0.52441,1.02506,0.90375,0.90319,0.94019,0.72555,0.78685,0.45176,1.04392,0.002542,0.002542,0.002542
115,8419.87,0.85243,0.53173,1.03222,0.89155,0.90995,0.94044,0.72479,0.78714,0.45363,1.04466,0.002476,0.002476,0.002476
116,8493.04,0.84663,0.52912,1.02283,0.89868,0.90572,0.93891,0.72364,0.78675,0.45177,1.04563,0.00241,0.00241,0.00241
117,8565.92,0.83215,0.51658,1.01973,0.89902,0.91152,0.94047,0.72285,0.78893,0.45349,1.04811,0.002344,0.002344,0.002344
118,8638.23,0.82739,0.51916,1.02262,0.89964,0.90683,0.93819,0.72341,0.78626,0.4518,1.0471,0.002278,0.002278,0.002278
119,8711.58,0.83725,0.51898,1.02334,0.89367,0.91266,0.93944,0.72373,0.78828,0.45144,1.04769,0.002212,0.002212,0.002212
120,8784.35,0.8194,0.50719,1.01529,0.89868,0.90891,0.93903,0.72396,0.78689,0.45033,1.04735,0.002146,0.002146,0.002146
