epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3225.08,0.93447,0.64847,1.05948,0.84571,0.876,0.906,0.67572,0.84666,0.55543,1.05001,0.005908,0.005908,0.005908
64,3276.01,0.93805,0.6619,1.0697,0.86477,0.86531,0.90501,0.67205,0.84893,0.55399,1.05188,0.005842,0.005842,0.005842
65,3326.69,0.93719,0.64647,1.0601,0.85455,0.86804,0.90781,0.67441,0.84812,0.56734,1.05282,0.005776,0.005776,0.005776
66,3376.89,0.9421,0.64724,1.06719,0.80815,0.8287,0.88304,0.6403,0.90511,0.68061,1.08128,0.00571,0.00571,0.00571
67,3426.72,0.93216,0.63696,1.05798,0.85632,0.87153,0.9106,0.67707,0.85717,0.55704,1.05605,0.005644,0.005644,0.005644
68,3477.32,0.94093,0.64008,1.05835,0.86317,0.88659,0.91428,0.68422,0.84748,0.52752,1.05204,0.005578,0.005578,0.005578
69,3528.59,0.92153,0.62415,1.05406,0.8586,0.87731,0.91418,0.68269,0.84264,0.53616,1.04568,0.005512,0.005512,0.005512
70,3579.06,0.92144,0.62924,1.05001,0.83049,0.8677,0.90078,0.67329,0.84999,0.56471,1.05606,0.005446,0.005446,0.005446
71,3629.1,0.91983,0.62503,1.05666,0.84848,0.87417,0.91111,0.68195,0.84382,0.53738,1.0488,0.00538,0.00538,0.00538
72,3679.9,0.92251,0.62506,1.05702,0.8483,0.8842,0.91417,0.67046,0.8783,0.54936,1.06794,0.005314,0.005314,0.005314
73,3730.37,0.91206,0.62727,1.05652,0.85971,0.87849,0.9142,0.68409,0.83691,0.53066,1.04924,0.005248,0.005248,0.005248
74,3780.93,0.92611,0.62426,1.0557,0.874,0.87298,0.91204,0.68352,0.83734,0.52916,1.04967,0.005182,0.005182,0.005182
75,3831.85,0.90628,0.61966,1.0503,0.86765,0.87341,0.91769,0.6836,0.85431,0.54159,1.05402,0.005116,0.005116,0.005116
76,3882.48,0.91936,0.61938,1.05877,0.86085,0.89308,0.91774,0.68869,0.83059,0.52574,1.04634,0.00505,0.00505,0.00505
77,3933.27,0.91723,0.62163,1.05642,0.84879,0.88557,0.91742,0.68685,0.83647,0.52001,1.04546,0.004984,0.004984,0.004984
78,3983.37,0.89968,0.60939,1.05048,0.87897,0.87971,0.91912,0.6941,0.82324,0.51077,1.03701,0.004918,0.004918,0.004918
79,4033.93,0.91296,0.60904,1.05274,0.8824,0.87805,0.92061,0.69619,0.82716,0.51439,1.04355,0.004852,0.004852,0.004852
80,4084.57,0.90759,0.6091,1.04568,0.86519,0.88329,0.92167,0.69553,0.82893,0.52926,1.04148,0.004786,0.004786,0.004786
81,4134.83,0.90806,0.60714,1.0572,0.86745,0.89364,0.9217,0.69449,0.83909,0.51063,1.04697,0.00472,0.00472,0.00472
82,4185.22,0.89573,0.60108,1.04441,0.86628,0.88157,0.9167,0.68625,0.84584,0.52418,1.05279,0.004654,0.004654,0.004654
83,4235.66,0.90087,0.60456,1.04829,0.86645,0.88917,0.9253,0.69981,0.81951,0.50786,1.03778,0.004588,0.004588,0.004588
84,4285.86,0.89069,0.5924,1.04435,0.87975,0.87944,0.92111,0.69321,0.82927,0.51246,1.04484,0.004522,0.004522,0.004522
85,4336.25,0.89532,0.59769,1.04209,0.88175,0.88283,0.92479,0.69854,0.82012,0.51072,1.03562,0.004456,0.004456,0.004456
86,4386.52,0.9037,0.59675,1.04778,0.86821,0.88906,0.91916,0.69822,0.82619,0.50809,1.03782,0.00439,0.00439,0.00439
87,4437.05,0.8878,0.59019,1.04884,0.87496,0.88457,0.92025,0.69764,0.83216,0.5033,1.04486,0.004324,0.004324,0.004324
88,4487.86,0.8833,0.58218,1.03999,0.87914,0.88356,0.92348,0.69883,0.82265,0.49506,1.03907,0.004258,0.004258,0.004258
89,4538.61,0.88022,0.58388,1.0366,0.88241,0.89325,0.93006,0.70432,0.81476,0.49449,1.03813,0.004192,0.004192,0.004192
90,4590.01,0.87399,0.56971,1.03704,0.87955,0.88667,0.92613,0.69746,0.83215,0.50416,1.0424,0.004126,0.004126,0.004126
91,4641.4,0.88633,0.58089,1.04061,0.86953,0.89314,0.92616,0.70048,0.82246,0.49724,1.04003,0.00406,0.00406,0.00406
92,4691.78,0.88875,0.58032,1.0417,0.87551,0.89516,0.92861,0.70193,0.81702,0.49329,1.03848,0.003994,0.003994,0.003994
93,4741.92,0.86449,0.56433,1.03142,0.8774,0.90005,0.92812,0.70726,0.80854,0.48968,1.03448,0.003928,0.003928,0.003928
94,4792.27,0.88379,0.5771,1.04523,0.88955,0.89535,0.92871,0.70578,0.82076,0.49087,1.03927,0.003862,0.003862,0.003862
95,4843.21,0.88258,0.5835,1.03828,0.88121,0.89372,0.92905,0.70687,0.81092,0.48985,1.03473,0.003796,0.003796,0.003796
96,4895.38,0.8852,0.58044,1.0395,0.89123,0.88722,0.92898,0.70765,0.80661,0.48559,1.03173,0.00373,0.00373,0.00373
97,4946.2,0.87745,0.57088,1.0361,0.88172,0.90232,0.93223,0.70725,0.81604,0.48524,1.03583,0.003664,0.003664,0.003664
98,4997.19,0.86713,0.56421,1.02943,0.87647,0.89505,0.92997,0.70424,0.81945,0.48254,1.03882,0.003598,0.003598,0.003598
99,5047.61,0.87683,0.56637,1.03691,0.87721,0.90753,0.93311,0.70875,0.81131,0.47759,1.03352,0.003532,0.003532,0.003532
100,5098.11,0.86399,0.56744,1.03045,0.87978,0.90754,0.93301,0.70786,0.81249,0.48091,1.03518,0.003466,0.003466,0.003466
101,5148.77,0.85683,0.55439,1.03303,0.88601,0.89767,0.93283,0.71297,0.81336,0.48015,1.03421,0.0034,0.0034,0.0034
102,5199.6,0.8722,0.5638,1.03775,0.88606,0.90098,0.93206,0.71287,0.81079,0.47827,1.03352,0.003334,0.003334,0.003334
103,5249.85,0.84794,0.55064,1.0284,0.88765,0.90473,0.93434,0.71222,0.80797,0.47423,1.03309,0.003268,0.003268,0.003268
104,5300.5,0.86847,0.55791,1.03745,0.87924,0.90687,0.93488,0.71558,0.80355,0.47017,1.03074,0.003202,0.003202,0.003202
105,5351.56,0.85894,0.56131,1.03254,0.88167,0.90712,0.93593,0.71559,0.80402,0.46914,1.03015,0.003136,0.003136,0.003136
106,5403.05,0.8585,0.55682,1.02865,0.88913,0.89638,0.93342,0.7154,0.80264,0.46928,1.03331,0.00307,0.00307,0.00307
107,5453.49,0.85155,0.54506,1.02605,0.87527,0.89832,0.92901,0.71201,0.80869,0.47259,1.03437,0.003004,0.003004,0.003004
108,5503.71,0.86127,0.54627,1.0315,0.88705,0.89884,0.93132,0.71425,0.81002,0.46802,1.03386,0.002938,0.002938,0.002938
109,5553.96,0.85676,0.54811,1.03455,0.8792,0.91045,0.93272,0.71374,0.81476,0.46963,1.03611,0.002872,0.002872,0.002872
110,5604.98,0.85511,0.54825,1.02735,0.88378,0.90292,0.93264,0.71363,0.80995,0.46925,1.03531,0.002806,0.002806,0.002806
111,5655.72,0.84898,0.54487,1.02838,0.88518,0.89943,0.93391,0.71474,0.80683,0.46788,1.03323,0.00274,0.00274,0.00274
112,5705.83,0.85229,0.53919,1.02869,0.89527,0.89625,0.93511,0.71406,0.81163,0.46767,1.03552,0.002674,0.002674,0.002674
113,5756.78,0.85261,0.5406,1.03103,0.89726,0.89697,0.93446,0.71495,0.80646,0.46341,1.0329,0.002608,0.002608,0.002608
114,5807.75,0.84066,0.53154,1.02096,0.88701,0.89748,0.93327,0.71267,0.81159,0.46779,1.03744,0.002542,0.002542,0.002542
115,5858.1,0.84223,0.53291,1.0279,0.88293,0.90453,0.93352,0.71303,0.81115,0.46624,1.03563,0.002476,0.002476,0.002476
116,5909.45,0.84189,0.53395,1.01994,0.89522,0.9005,0.93377,0.71563,0.80863,0.46081,1.03365,0.00241,0.00241,0.00241
117,5959.95,0.85397,0.53786,1.02324,0.88758,0.904,0.93287,0.71516,0.81033,0.46269,1.03486,0.002344,0.002344,0.002344
118,6010.3,0.84026,0.53334,1.0235,0.88964,0.90531,0.9355,0.71706,0.808,0.46272,1.03455,0.002278,0.002278,0.002278
119,6061.54,0.84295,0.53256,1.02336,0.89055,0.90069,0.93613,0.71621,0.80676,0.46115,1.03318,0.002212,0.002212,0.002212
120,6112.45,0.83359,0.52204,1.01591,0.8859,0.90405,0.93597,0.71812,0.80728,0.4581,1.03351,0.002146,0.002146,0.002146
121,6163.37,0.83316,0.52387,1.02467,0.88396,0.90506,0.93617,0.71814,0.80497,0.45522,1.03164,0.00208,0.00208,0.00208
122,6213.94,0.8416,0.52283,1.0251,0.88701,0.9056,0.93596,0.7163,0.80641,0.4576,1.0335,0.002014,0.002014,0.002014
123,6265.03,0.83928,0.52379,1.02047,0.89065,0.89807,0.93382,0.71663,0.80516,0.45854,1.03336,0.001948,0.001948,0.001948
124,6315.82,0.8333,0.5232,1.02275,0.89033,0.90022,0.93315,0.71649,0.80334,0.4595,1.03189,0.001882,0.001882,0.001882
125,6366.73,0.83256,0.51922,1.0182,0.89437,0.90294,0.9352,0.71809,0.80453,0.45513,1.03293,0.001816,0.001816,0.001816
126,6417.35,0.81593,0.51412,1.01405,0.89528,0.90193,0.93664,0.71776,0.80689,0.45561,1.03415,0.00175,0.00175,0.00175
127,6467.61,0.81694,0.50852,1.01169,0.8976,0.89803,0.93557,0.71537,0.8085,0.45917,1.03513,0.001684,0.001684,0.001684
128,6518.34,0.82233,0.51067,1.02056,0.89118,0.89962,0.93513,0.71525,0.80728,0.45977,1.03489,0.001618,0.001618,0.001618
