=== 每张图片各类藻密度 (Cells/L，含修正系数) ===
文件名,丝状藻,其他,卵囊藻,小环藻,微囊藻,浮丝藻,游丝藻,盘星藻,直链藻,长孢藻,隐藻,合计密度
huiwanxi2025-420241027_DL_5889.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09
huiwanxi2025-420241027_DL_5897.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5901.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
huiwanxi2025-420241027_DL_5902.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
huiwanxi2025-420241027_DL_5904.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5913.jpg,0.00e+00,0.00e+00,0.00e+00,5.17e+07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+07
huiwanxi2025-420241027_DL_5914.jpg,0.00e+00,0.00e+00,0.00e+00,5.17e+07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+07
huiwanxi2025-420241027_DL_5918.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.72e+08
huiwanxi2025-420241027_DL_5919.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.72e+08
huiwanxi2025-420241027_DL_5920.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5921.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.28e+08
huiwanxi2025-420241027_DL_5922.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.72e+08
huiwanxi2025-420241027_DL_5930.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5932.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5933.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
huiwanxi2025-420241027_DL_5934.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,5.17e+08
huiwanxi2025-420241027_DL_5935.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.72e+08
huiwanxi2025-420241027_DL_5936.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,5.17e+08,0.00e+00,0.00e+00,5.17e+07,0.00e+00,0.00e+00,7.24e+08
huiwanxi2025-420241027_DL_5937.jpg,0.00e+00,5.17e+07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+07
huiwanxi2025-420241027_DL_5938.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
huiwanxi2025-420241027_DL_5939.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5940.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5948.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,5.17e+08
huiwanxi2025-420241027_DL_5949.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,5.17e+08
