=== 每张图片各类藻密度 (Cells/L，含修正系数) ===
文件名,丝状藻,小环藻,微囊藻,束丝藻,栅藻,浮丝藻,盘星藻,直链藻,长孢藻,合计密度
huiwanxi2025-120241027_DL_5082.jpg,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
huiwanxi2025-120241027_DL_5083.jpg,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
huiwanxi2025-120241027_DL_5084.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-120241027_DL_5085.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-120241027_DL_5087.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-120241027_DL_5088.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-120241027_DL_5089.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,6.72e+08
huiwanxi2025-120241027_DL_5090.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,6.72e+08
huiwanxi2025-120241027_DL_5092.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,6.72e+08
huiwanxi2025-120241027_DL_5093.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,1.19e+09
huiwanxi2025-120241027_DL_5094.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,1.03e+09
huiwanxi2025-120241027_DL_5095.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,6.72e+08
huiwanxi2025-120241027_DL_5096.jpg,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.21e+08
huiwanxi2025-120241027_DL_5102.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
huiwanxi2025-120241027_DL_5103.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-120241027_DL_5104.jpg,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
