epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4469.48,0.80265,0.51343,0.92493,0.92165,0.93007,0.96993,0.75661,0.71945,0.42601,0.92456,0.00505,0.00505,0.00505
77,4522.02,0.80206,0.50896,0.924,0.92382,0.91859,0.9657,0.7494,0.74509,0.43725,0.93618,0.004984,0.004984,0.004984
78,4576.4,0.80283,0.51287,0.92188,0.92086,0.92755,0.97315,0.76012,0.71608,0.42628,0.92888,0.004918,0.004918,0.004918
79,4634.49,0.80258,0.51119,0.9253,0.90882,0.92851,0.96979,0.75401,0.73202,0.43689,0.93185,0.004852,0.004852,0.004852
80,4690.84,0.79517,0.49981,0.91909,0.90586,0.92649,0.96814,0.75947,0.71398,0.42451,0.92055,0.004786,0.004786,0.004786
81,4745.39,0.80344,0.5072,0.92496,0.93558,0.92043,0.97127,0.76115,0.72174,0.4193,0.92574,0.00472,0.00472,0.00472
82,4796.73,0.7838,0.5053,0.91799,0.92852,0.9331,0.97527,0.76755,0.70463,0.41491,0.92219,0.004654,0.004654,0.004654
83,4848.31,0.79455,0.50536,0.92015,0.92247,0.92555,0.96991,0.76006,0.71346,0.4369,0.92497,0.004588,0.004588,0.004588
84,4900.35,0.79406,0.50012,0.91997,0.9298,0.93395,0.97755,0.76803,0.7099,0.41017,0.92515,0.004522,0.004522,0.004522
85,4951.5,0.78872,0.50064,0.91876,0.92115,0.92723,0.96908,0.76134,0.71048,0.41894,0.92356,0.004456,0.004456,0.004456
86,5007.02,0.78804,0.49595,0.9186,0.92551,0.93199,0.97295,0.76179,0.72199,0.41088,0.92802,0.00439,0.00439,0.00439
87,5064.75,0.77856,0.48771,0.91734,0.91715,0.9339,0.96986,0.75785,0.72352,0.41424,0.92981,0.004324,0.004324,0.004324
88,5121.03,0.79687,0.49968,0.92148,0.92599,0.93253,0.97476,0.76325,0.72053,0.41333,0.92607,0.004258,0.004258,0.004258
89,5179.99,0.77877,0.48913,0.91544,0.91994,0.91757,0.97224,0.75702,0.72425,0.42024,0.9293,0.004192,0.004192,0.004192
90,5236.57,0.78452,0.49227,0.91541,0.92263,0.92594,0.96989,0.75931,0.71406,0.41405,0.92391,0.004126,0.004126,0.004126
91,5292.69,0.79055,0.49543,0.92081,0.91357,0.92715,0.96726,0.75737,0.7145,0.4128,0.92516,0.00406,0.00406,0.00406
92,5345.79,0.77803,0.48458,0.9161,0.92023,0.93274,0.97301,0.76122,0.7197,0.41109,0.92727,0.003994,0.003994,0.003994
93,5396.21,0.77696,0.48307,0.91565,0.92061,0.93374,0.96918,0.76525,0.70799,0.40678,0.92404,0.003928,0.003928,0.003928
94,5448.25,0.78226,0.4856,0.91651,0.92509,0.93327,0.96743,0.76207,0.71313,0.4047,0.9254,0.003862,0.003862,0.003862
95,5498.69,0.77571,0.48442,0.91419,0.93721,0.92986,0.97061,0.76547,0.71138,0.40401,0.92347,0.003796,0.003796,0.003796
96,5554.43,0.78484,0.4844,0.91601,0.93275,0.93632,0.97129,0.76642,0.70435,0.40341,0.92318,0.00373,0.00373,0.00373
97,5615.05,0.77591,0.47626,0.91846,0.90861,0.92911,0.9632,0.75947,0.70764,0.40763,0.9262,0.003664,0.003664,0.003664
98,5669.94,0.7657,0.47321,0.9143,0.9212,0.91856,0.96483,0.76033,0.70644,0.41475,0.92442,0.003598,0.003598,0.003598
99,5728.04,0.77285,0.47406,0.91408,0.92102,0.91545,0.96562,0.76064,0.70961,0.40671,0.92717,0.003532,0.003532,0.003532
